Index,Name_kor,Name_eng,계절,cluster,Language,Explanation,Prune,Manage
29,스카비오사,Scabiosa,여름,부정,이루어질 수 없는 사랑,수명이 길어 오랫동안 꽃을 볼 수 있는 옥스포드 스카비오사는 꽃잎이 작고 동그란 화형을 가지고 있어요.화형이 작고 줄기가 얇아 다른 꽃들과 함께 연출하기 좋은 필러꽃이랍니다. ,"꽃다듬기-잎은 꽃받침 아래 2-3개를 제외하고 전부 제거하여 물에 잠기는 부분에 잎이 없도록 합니다. 잎 정리 후 줄기의 끝부분을 잘라 물에 담가줍니다.-신선한 물로 화병을 자주 갈아 주며, 줄기 끝을 다시 잘라 수화작용을 원활하게 해주세요.",꽃 관리 방법- 옥스포드 스카비오사는 혼합 색상으로 색상은 랜덤으로 배정됩니다.- 옥스포드가 배송 중 고개를 숙일 수 있으나 시원한 물에 넣어 주시면 다시 생생해 집니다
30,기린초,Girincho,봄,동심과 희망 ,반드시 오고야 말 행복,동그랗고 큰 얼굴을 한 메리골드는 '반드시 오고야 말 행복' 이라는 꽃말을 가졌습니다. 봄날의 햇살처럼 따스한 주황빛이 매력적인 꽃입니다.메리골드는 다양한 종류가 있는데 멕시코에서 온 아프리칸 메리골드는 천수국으로 불립니다.이 천수국은 꽃잎이 빼곡하고 꽃모양이 귀여워 단독으로 두어도 화사한 꽃입니다.,꽃다듬기- 불필요한 부분 또는 물속에 잠기는 부분의 잎사귀는 전부 제거합니다.- 줄기의 끝 부분을 사선으로 컷팅하여 물에 담구어 줍니다.,"꽃 관리 방법- 온도가 높은 계절에는 화병 속 물을 자주 갈아주세요.- 물을 갈아줄 때에는 줄기 끝을 재 절단하여 수화작용을 원활하게 해주세요.- 꽃의 얼굴이 큰 편에 속해, 배송 시 얼굴이 눌릴 수 있습니다.- 잎에 물이 닿아 까맣게 변색이 되어 있을 수 있으나, 이는 시든 것이 아닙니다."
31,국화,Chrysanthemum,가을,우정과 신뢰,"진실, 성실",,,
32,디스버드 국화,Disbud Chrysanthemum,가을,동심과 희망 ,소녀의사랑,"마치 기린의 뿔처럼 보이지만, 소녀의 사랑이라는 낭만적인 꽃말을 담고있는 ‘기린초’입니다. 개화 전에는 연둣빛을 띠어 싱그럽고, 만개했을 때는 노란빛의 별모양 꽃이 흐드러지게 피어 상큼한 느낌이 듭니다. 기린초는 야생화의 한 종류이고, 6~7월에 꽃이 핍니다. ",꽃다듬기- 필요하지 않은 잎과 물 속으로 잠기는 부분의 잎사귀들은 정리해 줍니다. - 줄기 끝은 사선으로 컷팅하여 화병에 꽂아주세요. - 화병 속의 물은 1-2일에 한번씩 갈아주며 깨끗하게 유지해주세요.,꽃 관리 방법-
33,헬리옵시스,Helioptis,여름,사랑과 열정,당신이 슬플 때 더 사랑을 느낀다,여름에 볼 수 있는 시원한 파란 색상의 용담은 종 모양의 꽃잎의 형태가 돋보입니다. 꽃이 개화하기 시작하면 원추형으로 피어나는 꽃의 형태를 관찰하실 수 있습니다.용담의 꽃말은 당신이 슬플 때 더 사랑을 느낀다로 힘들 때 함께 옆에 있어주고 싶은 진정한 사랑의 의미를 담은 꽃 입니다.   ,꽃다듬기- 줄기의 끝 부분을 사선으로 컷팅하여 물에 담구어 줍니다.- 불 필요한 부분 또는 물속에 잠기는 부분의 잎사귀는 전부 제거합니다.,꽃 관리 방법- 온도가 높은 계절에는 화병 속 물을 자주 갈아주세요.- 물을 갈아줄 때에는 줄기 끝을 재 절단하여 수화작용을 원활하게 해주세요.- 타품종에 비해 습짐의 우려가 있어 습도가 높은 공간은 피해주세요.                                                                                                                                                                                                             
34,용담,Yongdam,봄,추억과 회상,화려한 추억,"동그란 꽃몽오리들이 잔잔하게 모여있는 아스그레피아스는 작은 별 모양의 꽃을 피워냅니다.금관화라는 이름으로도 불리우는데 , 만개시 왕관의 모습을 닮아 붙혀진 이름입니다.풍성한 잎을 가지고 있어 단품으로 놓아도 예쁘고 가지를 잘라 나누어 다른 꽃과 함께 놓아도 본연의 모습을 잃지 않으며 다른 모습의 아름다움을 보여줍니다.   무더위에 강하고 수명이 길어 여름에 즐기기 좋은 꽃입니다.",꽃다듬기- 필요하지 않은 잎과 물 속으로 잠기는 부분의 잎사귀들은 정리해 줍니다. - 줄기 끝은 사선으로 컷팅하여 화병에 꽂아주세요. - 화병 속의 물은 1-2일에 한번씩 갈아주며 깨끗하게 유지해주세요.,"꽃 관리 방법- 온도가 높은 계절에는 화병 속 물을 자주 갈아주세요.- 꽃을 꽂을 때에 길이를 너무 짧게 커팅해 버린다면, 꽃의 관상기간이 짧아지게 되므로 이 점은 반드시 유의하고 커팅 해주세요. "
35,투베로사,Tuberose,여름,독특한 아름다움,"정열, 화려","정열의 나라 멕시코에서 온 다알리아는 더운 여름에 자주 만날 수 있는 꽃입니다.탐스러운 꽃봉오리가 터지면 다양한 색깔과 화려한 화형을 자랑하는 다알리아는 색깔마다 다른 꽃말을 가진 꽃입니다. 빨강은 '당신의 사랑이 나를 행복하게 해요', 선홍은 '당신의 마음을 알게되어 기뻐요', 하양은 '친절이 감사합니다'  정열적인 다알리아처럼 화려함을 즐겨보세요.",꽃다듬기- 줄기의 끝 부분을 일자로 컷팅하여 물에 담구어 줍니다.- 불 필요한 부분 또는 물속에 잠기는 부분의 잎사귀는 전부 제거합니다.,꽃 관리 방법- 온도가 높은 계절에는 화병 속 물을 자주 갈아주세요.- 물을 갈아줄 때에는 줄기 끝을 재 절단하여 수화작용을 원활하게 해주세요.- 겹꽃으로 큰 화형에 비해 꽃받침이 약하니 줄기가 부러지지 않게 주의해주세요.
36,다알리아,Dahlia,여름,동심과 희망,동심,"동글동글 삐죽삐죽 마치 고슴고치와 같은 외형을 가지고 있고, 몽환적인 컬러감의 에키놉스 입니다. 촉감도 다른 꽃 보다는 딱딱하여 마치 생명체가 있는 것 같기도 한 에키놉스는 건조 후에도 형태유지가 오래되어 드라이플라워로도 많이 쓰이고, 푸른계열을 좋아하시는 분들이 결혼식 부케/부토니에로도 자주 사용하십니다.",꽃다듬기- 필요하지 않은 잎과 물 속으로 잠기는 부분의 잎사귀들은 정리해 줍니다. - 줄기 끝은 사선으로 컷팅하여 화병에 꽂아주세요. - 화병 속의 물은 1-2일에 한번씩 갈아주며 깨끗하게 유지해주세요.,"꽃 관리 방법- 화병 속 물은 깨끗하게 관리해 주어야 하며, 3일에 한 번씩 줄기를 흐르는 물에 닦아줍니다.- 온도가 높은 계절에는 화병 속 물을 자주 갈아주세요.- 꽃을 꽂을 때에 길이를 너무 짧게 커팅해 버린다면, 꽃의 관상기간이 짧아지게 되므로 이 점은 반드시 유의하고 커팅 해주세요."
37,에키놉스,Echinops,여름 ,청결과 순수 ,순수한 사랑,"많은 사람들에게 친숙한 백합은 떠올리는 순간 순수하고 깨끗한 이미지가 생각납니다꽃말 또한 이미지에 맞게 '순결,변함없는사랑'입니다. 사실 백합의 '백'은 희다는 뜻을 가지고 있는 ‘白’이 아니라, 구근식물인 백합의 알뿌리를 본떠 숫자 백의 ‘百’자를 사용한다는 반전이 있기도 합니다. ",꽃다듬기- 불필요한 수분이 잎사귀로 가지 않도록 꽃받침 아래 잎사귀를 1-2개 정도 남겨두고 전부 제거합니다.  - 줄기 끝을 화병의 길이에 맞춰 컷팅하고 화병에 꽂아주면 2-3일 내로 꽃봉오리가 열립니다.   - 만개 까지는 충분한 시간이 필요하기 때문에 특별한 용도로 사용 하실 경우에는 사용일  2-3일전에 주문하여 피워두어야 합니다. ,"꽃 관리 방법-개화 전 봉오리 상태의 꽃이 도착할 수 있으나, 이는 3~4일이면 활짝 개화합니다.-개화 후 꽃 안에 피어 있는 수술을 제거해 주세요.-백합의 수술가루가 꽃잎이나 옷에 묻으면 잘 지워지지 않기 때문에 핀셋이나 비닐장갑을 낀 손으로 수술을 제거해주는 것이 좋습니다. -백합의 향기나 꽃가루는 아기와 반려동물에게 알레르기 반응을 일으킬 수 있으니 주의해 주세요."
38,메리골드,Marigold,"봄, 여름, 가을",추억과 회상,추억,"화단용, 노지용에서도 많이 볼 수 있는 플록스의 이름은 그리스어의 불꽃에서 유래가 되었습니다.작은 꽃송이들이 모여 큰 한송이의 꽃을 이루는 모습이 마치 불꽃이 터져나가는 모습과 비슷하여 정열, 내 가슴은 정열에 불타고 있습니다의 꽃말도 함께 보실 수가 있습니다. ",꽃다듬기- 줄기의 끝 부분을 사선으로 컷팅하여 물에 담구어 줍니다.- 불 필요한 부분 또는 물속에 잠기는 부분의 잎사귀는 전부 제거합니다.,꽃 관리 방법- 온도가 높은 계절에는 화병 속 물을 자주 갈아주세요.- 물을 갈아줄 때에는 줄기 끝을 재 절단하여 수화작용을 원활하게 해주세요.- 타 품종에 비해 습짐의 우려가 있어 습도가 높은 공간은 피해주세요.
39,수국,Hydrangea,"여름, 가을",부정,"변덕, 변심",,,
40,핑크 수국,Pink Hydrangea,"여름, 가을",동심과 희망,"화해,안부","계란후라이를 닮아 귀여운 모습을 하고 있는 공작초는 우리 일상에서 쉽게 접할 수 있는 들꽃의 한 종류 입니다.  귀여운 모습과는 달리 '화해,안부'라는 의미가 크게 느껴지는 꽃말을 가지고 있는데요. 혹시나 일상을 살아가며 문득 누군가의 안부가 궁금하거나, 안부를 묻기 서먹할때 공작초를 선물하며 분위기를 전환하면 어떨까 합니다.",꽃다듬기- 필요하지 않은 잎과 물 속으로 잠기는 부분의 잎사귀들은 정리해 줍니다. - 줄기 끝은 사선으로 컷팅하여 화병에 꽂아주세요. - 화병 속의 물은 1-2일에 한번씩 갈아주며 깨끗하게 유지해주세요.,"꽃 관리 방법- 온도가 높은 계절에는 화병 속 물을 자주 갈아주세요.- 꽃을 꽂을 때에 길이를 너무 짧게 커팅해 버린다면, 꽃의 관상기간이 짧아지게 되므로 이 점은 반드시 유의하고 커팅 해주세요. "
41,워터블루 수국,Water Blue Hydrangea,"여름, 가을",변함없는 사랑과 성실 ,끝없는 사랑,"동글동글 노란색 알사탕 같기도 하고 , 민들레씨와 닮은 귀여운 화형의 골든볼 입니다.  골든볼을 처음 보았을 땐 다른 화려한 화형의 꽃들로 인해 크게 미적요소를 느끼지 못하기 마련인데 , 딱 한 번만 골든볼을 접하게 되면 그 매력에 빠져서 헤어나오기 어렵습니다. 단품으로 여러대를 모아놓아도 귀엽고, 다른 소재류와 믹스매치를 하면 더욱 매력을 뽐내는 골든볼 입니다.",꽃다듬기- 필요하지 않은 잎과 물 속으로 잠기는 부분의 잎사귀들은 정리해 줍니다. - 줄기 끝은 사선으로 컷팅하여 화병에 꽂아주세요. - 화병 속의 물은 1-2일에 한번씩 갈아주며 깨끗하게 유지해주세요.,"꽃 관리 방법- 온도가 높은 계절에는 화병 속 물을 자주 갈아주세요.- 꽃을 꽂을 때에 길이를 너무 짧게 커팅해 버린다면, 꽃의 관상기간이 짧아지게 되므로 이 점은 반드시 유의하고 커팅 해주세요. "
42,사라 작약,Sarah Primrose,"봄, 여름, 가을",변함없는 사랑과 성실 ,일편단심,"꽃말인 '일편단심' 그 자체를 나타내는 해바라기 입니다. 그리스 신화에 나오는 두 형제가 해의 신을 숭배하고 있었는데, 형이 신의 사랑을 독차지하려고 동생을 살해한 다음 해의 신에게 찾아갔으나 그 사실을 눈치챈 해의 신은 형을 떨어뜨려 죽여버렸으며, 그 뒤 형의 영혼이 해바라기가 되었다는 이야기가 있습니다. ",꽃다듬기- 불필요한 수분이 잎사귀로 가지 않도록 꽃받침 아래 잎사귀를 1-2개 정도 남겨두고 전부 제거합니다. - 줄기 끝 일자로 컷팅하고 화병에 꽂아줍니다.,"꽃 관리 방법- 습이 지면 꽃잎이 탈락하므로, 통풍이 잘되는 공간에 두어야 합니다.- 화병 속 물을 깨끗하게 유지해야합니다."
43,백공작초,White Pincushion,"봄, 여름, 가을",우정과 신뢰,"기다림, 당신을 사랑합니다","꽃말인 '일편단심' 그 자체를 나타내는 해바라기 입니다. 그리스 신화에 나오는 두 형제가 해의 신을 숭배하고 있었는데, 형이 신의 사랑을 독차지하려고 동생을 살해한 다음 해의 신에게 찾아갔으나 그 사실을 눈치챈 해의 신은 형을 떨어뜨려 죽여버렸으며, 그 뒤 형의 영혼이 해바라기가 되었다는 이야기가 있습니다.",꽃다듬기- 불필요한 수분이 잎사귀로 가지 않도록 꽃받침 아래 잎사귀를 1-2개 정도 남겨두고 전부 제거합니다. - 줄기 끝을 일자로 컷팅하고 화병에 꽂아줍니다.,"꽃 관리 방법- 습이 지면 꽃잎이 탈락하므로, 통풍이 잘되는 공간에 두어야 합니다.- 화병 속 물을 깨끗하게 유지해야합니다.- 줄기에 비해 꽃이 무겁기때문에, 줄기가 기역자로 휘어진 것이 정상적인 상태입니다."
44,골든볼,Golden Ball,여름,독특한 아름다움 ,"매혹,매력",화형이 크고 화려하게 피어난 버터플라이 라년큘러스는 섬세한 꽃잎의 아름다움에 어느 순간 넋이 나갑니다'매혹과 매력'의 꽃말이 있을 만큼  시간이 지날수록 봉오리가 한겹 한겹 펼쳐지면서 화형을 뽐낼 거에요.,"꽃다듬기-잎은 꽃받침 아래 2-3개를 제외하고 전부 제거하여 물에 잠기는 부분에 잎이 없도록 합니다. 잎 정리 후 줄기의 끝부분을 잘라 물에 담가줍니다.-신선한 물로 화병을 자주 갈아 주며, 줄기 끝을 다시 잘라 수화작용을 원활하게 해주세요.","꽃 관리 방법- 색상은 랜덤으로 발송되어, 색이 다른 라넌큘러스가 혼합되어 있을 수 있습니다.- 몽오리의 꽃이 도착해도 2~3일이면 활짝 개화합니다.- 버터플라이 라넌큘러스의 꽃잎이 얇아, 배송 중 작은 스크래치가 생길 수 있습니다."
45,해바라기,Sunflower,여름,청결과 순수 ,순수한사랑,"많은 사람들에게 친숙한 백합은 떠올리는 순간 순수하고 깨끗한 이미지가 생각납니다꽃말 또한 이미지에 맞게 '순결,변함없는사랑'입니다. 사실 백합의 '백'은 희다는 뜻을 가지고 있는 ‘白’이 아니라, 구근식물인 백합의 알뿌리를 본떠 숫자 백의 ‘百’자를 사용한다는 반전(?)이 있기도 합니다. ",꽃다듬기- 불필요한 수분이 잎사귀로 가지 않도록 꽃받침 아래 잎사귀를 1-2개 정도 남겨두고 전부 제거합니다.  - 줄기 끝을 화병의 길이에 맞춰 컷팅하고 화병에 꽂아주면 2-3일 내로 꽃봉오리가 열립니다. - 만개 까지는 충분한 시간이 필요하기 때문에 특별한 용도로 사용 하실 경우에는 사용일  2-3일전에 주문하여 피워두어야 합니다. ,꽃 관리 방법-백합의 수술가루가 꽃잎이나 옷에 묻으면 잘 지워지지 않기 때문에 핀셋이나 비닐장갑을 낀 손으로 수술을 제거해주는 것이 좋습니다. -백합의 향기나 꽃가루는 아기와 반려동물에게 알레르기 반응을 일으킬 수 있으니 주의해 주세요.
46,겹 해바라기,Double Sunflower,여름,동심과 희망 ,소녀의 꿈,"사계절 중 낮의 길이가 가장 긴 여름에 피는 수국입니다. 작은 꽃이 모여 동그랗고 큰 꽃을 만들어낸 수국의 외형은 ‘소녀의 꿈’이라는 꽃말과 참 잘 어울립니다.  베레나핑크 수국은 핑크색을 띄는 작은 크기의 꽃잎들이 한데 몰려 있어 마치 나비 무리를 보는 것 같은 느낌을 들게 하고, 신비롭고 몽환적인 컬러로 오묘한 매력을 가지고 있는 품종입니다.일반적으로 사람들이 수국의 꽃잎으로 알고 있는 부분은 수국의 꽃받침으로, 수국의 꽃은 꽃받침 위에 아주 작게 위치해있으며 작은 구슬과 같은 모양을 하고 있습니다.",꽃다듬기- 잎사귀는 예쁜 모양 1-2개를 제외하고 전부 제거합니다.- 줄기의 맨 끝을 사선 커팅 한 뒤에 다시 한번 수직으로 커팅 하여 물을 흡수하는 단면적을 넓혀줍니다.,꽃 관리 방법- 시들해진 수국은 꽃받침을 포함한 몸통과 줄기가 물속에 모두 잠길때까지 담궈두면 다시 짱짱하게 살아납니다.- 꽃받침에 반점이 생기거나 갈변하는 경우 솎아내어 관리하는 것이 수국을 오래 관상할 수 있는 방법입니다. 
47,옐로윈 백합,Yellowwin Lily,"여름, 가을 ",감사와 기쁨,"진실, 성실, 감사", 퐁퐁국화라고도 불리는 디스버드 국화입니다. 겨울용 모자에 붙은 동그란 솜털 처럼 귀여운 화형을 자랑합니다. 다양한 색상을 가지고 있는 이 꽃은 '진실한 마음'이라는 의미를 가지고 있어서 사랑하는 사람에게 마음을 전달하기에도 좋습니다. ,꽃다듬기- 줄기를 다듬을 때에는 최대한 깔끔하게 정리해주어야 물이 탁해지는 것을 막을 수 있습니다. - 줄기 끝은 사선으로 컷팅하여 화병에 꽂아줍니다.,꽃 관리 방법- 물을 하루에 한번씩 갈아주어야 합니다.- 배송 시 일부 눌린 자국이 있을 수 있습니다.- 줄기를 흐르는 물에 씻어 부패하지 않도록 관리하면 더욱 오래 볼 수 있습니다.
48,시베리아 백합,Siberian Lily,"여름, 가을 ",변함없는 사랑과 성실,한결 같은 사랑,신비롭고 오묘한 색감을 가진 엔틱 수국은 빈티지한 무드가 돋보이는 아이에요.'진심'이라는 꽃말을 담고 있는 수국을 감사한 마음을 담아 소중한 사람에게 선물해보세요.,꽃다듬기- 잎사귀는 예쁜 모양 1-2개를 제외하고 전부 제거합니다.- 줄기의 맨 끝을 사선 커팅 한 뒤에 다시 한번 수직으로 커팅 하여 물을 흡수하는 단면적을 넓혀줍니다.,"꽃 관리 방법- 수국은 물이 좋아하는 성질이 있어, 배송 중 수분이 내려 일시적으로 시들어 보일 수 있습니다. 스프레이를 이용해 물을 충분히 분사해 주시거나 그릇에 넣어 수국 머리를 담궈 주시면 생생하게 돌아옵니다.- 앤틱한 컬러를 지닌 수국 특성 상, 잎에 반점들이 있을 수 있으나 이는 시든 것이 아닙니다."
49,분홍 프림로즈,pink primrose,"봄, 여름, 가을",사랑과 행복,"행복, 사랑",,,
50,딱딱한 잎 포켓 난초,hard-leaved pocket orchid,"봄, 여름",신비와 기대 ,"아름다움, 자연의 신비",,,
51,캔터베리 벨스,canterbury bells,여름,우정과 신뢰 ,"사랑, 우정",,,
52,스위트 피,sweet pea,"봄, 여름",감사와 기쁨,"기쁨, 감사",,,
53,잉글리쉬 메리골ㄷ,english marigold,"봄, 여름",감사와 기쁨,"감사, 애정",,,
54,타이거 릴리,tiger lily,"여름, 가을",독특한 아름다움 ,"자유, 부유함",,,
55,문 오키드,moon orchid,"봄, 여름",청결과 순수 ,"순수, 정신적인 아름다움 ",,,
56,극락조화,bird of paradise,"봄, 여름",신비와 기대 ,"신비, 영구불멸",,,
57,몽크후드,monkshood,가을,부정,"위험, 독",,,
58,글로브 티슬,globe thistle,가을,우정과 신뢰,"투명함, 고요한 미래",,,
59,금어초,snapdragon,"봄, 여름, 가을",독특한 아름다움 ,"수다쟁이, 주제넘게 참견",,,
60,관동화,colt's foot,봄,환상과 신비,"희망을 품다, 재결합",,,
61,킹 프로테아,king protea,"여름, 가을",동심과 희망,"변화, 희망",,,
62,서양가시엉겅퀴,spear thistle,"여름, 가을",독특한 아름다움,"난치, 도전",,,
63,노란 붓꽃,yellow iris,"봄, 여름",사랑과 열정,열정,,,
64,글로브 플라워,globe-flower,"봄, 여름",사랑과 행복,"행복, 고요한 행복",,,
65,에키네시아,purple coneflower,"여름, 가을",변함없는 사랑과 성실 ,영원한 행복,,,
66,페루 릴리,peruvian lily,"여름, 가을",우정과 신뢰 ,"우정, 긍정적인 생각",,,
67,도라지꽃,balloon flower,여름,변함없는 사랑과 성실,"변치 않는 사랑, 성실, 유순함",,,
68,자이언트 화이트 아룸 백합 꽃,giant white arum lily,"여름, 가을",독특한 아름다움,"순결, 고귀함",,,
69,파이어 릴리,fire lily,여름,사랑과 열정,"열정, 사랑",,,
70,바늘꽂이 꽃,pincushion flower,"봄, 여름",환상과 신비,"희망, 평화",,,
71,패모,fritillary,봄,독특한 아름다움,위엄,,,
72,레드 진저,red ginger,"봄, 여름",변함없는 사랑과 성실 ,당신을 신뢰합니다.,,,
73,포도 하아신스,grape hyacinth,봄,고결과 아름다움,"진실한 사랑, 고결함",,,
74,옥수수 포피,corn poppy,"봄, 여름",추억과 회상,"상징적인 사랑, 기억",,,
75,프린스 오브 웨일스 피더,prince of wales feathers,봄 ,독특한 아름다움,"유니크함, 예술적 표현",,,
76,용담꽃,stemless gentian,여름,청결과 순수 ,"순수한 사랑, 고요한 사랑",,,
77,아티초크,artichoke,"여름, 가을",환상과 신비,"희망, 평화",,,
78,수염패랭이꽃,sweet william,"봄, 여름",독특한 아름다움 ,의협심,,,
79,카네이션,carnation,"봄, 여름",감사와 기쁨,"사랑, 감사, 믿음",,,
80,풀협죽도,garden phlox,"여름, 가을",사랑과 행복,내 가슴은 정열에 불타고 있습니다,,,
81,니겔라,love in the mist,봄 ,사랑과 열정,"사랑의 혼돈, 사랑의 비밀",,,
82,멕시칸 애스터,mexican aster,"여름, 가을",환상과 신비,"희망, 감사",,,
83,에리늄,alpine sea holly,"여름, 가을",사랑과 열정,비밀스런 애정,,,
84,루비 입술 카틀레야,ruby-lipped cattleya,봄,사랑과 열정,열정적인 사랑,,,
85,페이프 꽃,cape flower,"여름, 가을",감사와 기쁨,"감사, 사랑",,,
86,큰 마스터워트,great masterwort,"여름, 가을",우정과 신뢰 ,"포용, 친절",,,
87,시암 튤립,siam tulip,여름,고결과 아름다움,"고결함, 아름다움",,,
88,헬레보루스,lenten rose,"겨울, 봄",추억과 회상,"존재, 추억",,,
89,수선화,daffodil,봄,독특한 아름다움,"자만심, 자존심, 자신만을 사랑하다",,,
90,글라디올러스,sword lily,여름,부정,"밀회, 조심",,,
91,포인세티아,poinsettia,"겨울, 봄",감사와 기쁨,"축복, 축하",,,
92,볼레로 딥 블루,bolero deep blue,"여름, 가을",사랑과 열정,"열정적인 사랑, 신뢰",,,
93,스토크,wallflower,"봄, 여름",변함없는 사랑과 성실,"영원한 사랑, 사랑의 믿음",,,
94,미나리아재비,buttercup,봄 ,동심과 희망 ,"아름다운 인격, 천진난만",,,
95,옥스아이 데이지 ,oxeye daisy,"봄, 여름",동심과 희망 ,"사랑을 밝히다, 예언",,,
96,민들레,common dandelion,"봄, 여름",감사와 기쁨,"행복, 감사",,,
97,페츄니아,petunia,"봄, 여름",사랑과 행복,당신과 함께라면 마음이 온화해집니다. ,,,
98,팬지,wild pansy,"봄, 여름",독특한 아름다움 ,"쾌활한 마음, 나를 생각해 주세요",,,
99,앵초,primula,봄,동심과 희망,행운,,,
100,빨강무늬제라늄,pelargonium,"봄, 가을",독특한 아름다움 ,위안,,,
101,랜다프 주교 칼라디움,bishop of llandaff,"봄, 가을",고결과 아름다움,"신성한 아름다움, 순결",,,
102,가우라,gaura,"여름, 가을",고결과 아름다움,섹시한 여인,,,
103,제라늄,geranium,"봄, 여름 가을",사랑과 열정,"결실, 진실한 애정",,,
104,분홍 노랑 달리아,pink-yellow dahlia,"여름, 가을",우정과 신뢰 ,"우정, 감동, 사랑의 시작",,,
105,카틀레야,cautleya spicata,"봄, 여름",우아함과 신성함,"미인, 우아, 성숙, 매력, 완성미",,,
106,검은 눈 수잔,black-eyed susan,"여름, 가을",우정과 신뢰 ,"명예, 신뢰",,,
107,크네오룸메꽃,silverbush,"봄, 여름",추억과 회상,"기억, 추억",,,
108,금영화,californian poppy,"봄, 여름",환상과 신비,희망,,,
109,오스테오스페르뭄,osteospermum,"봄, 가을 ",환상과 신비,"해뜨는 희망, 감사",,,
110,노란 샤프란,spring crocus,봄 ,추억과 회상,청춘의 환희 ,,,
111,수염 아이리스,bearded iris,봄,환상과 신비,"희망, 감사",,,
112,윈드플라워,windflower,봄,부정,덧없는 사랑,,,
113,마틸리자양귀비,tree poppy,봄,감사와 기쁨,"감사, 신뢰",,,
114,가자니아,gazania,여름,감사와 기쁨,"감사, 행복한 생각",,,
115,아젤리아,azalea,"봄, 가을",사랑과 행복,사랑의 기쁨,,,
116,물레수련,water lily,"봄, 여름",청결과 순수 ,"순수, 정신적인 일관성",,,
117,장미,rose,"여름, 가을",사랑과 열정,"사랑, 아름다움, 용기",,,
118,흰독말풀,thorn apple,"여름, 가을",부정,"경애, 애증, 속임수",,,
119,흰나팔꽃,morning glory,"봄, 여름",사랑과 행복,넘치는 기쁨,,,
120,시계꽃,passion flower,여름,사랑과 행복,성스러운 사랑,,,
121,연꽃,lotus,"여름, 가을",독특한 아름다움,"불가결한 아름다움, 정신적인 깨달음",,,
122,토드 릴리,toad lily,"여름, 가을",환상과 신비,"비밀, 매력적인 신비",,,
123,안수리움,anthurium,"봄, 여름, 가을",사랑과 열정,"귀여움, 정열",,,
124,플루메리아,frangipani,"봄, 여름, 가을",사랑과 행복,당신을 만나서 정말 행운이야,,,
125,클레마티스,clematis,"봄, 여름",고결과 아름다움,"고결, 당신의 마음은 아름답습니다",,,
126,하와이 무궁화,hibiscus,"여름, 가을",신비와 기대 ,"섬세한 사랑, 신비한 사랑",,,
127,비엔나 마초,columbine,"봄, 여름",환상과 신비,"기적, 매혹",,,
128,아데니움,desert-rose,"봄, 여름, 가을",사랑과 열정,무모한 사랑,,,
129,트리 말로우,tree mallow,"여름, 가을",환상과 신비,"희망, 근성",,,
130,목련,magnolia,봄,독특한 아름다움,고귀함,,,
131,시클라멘,cyclamen,"가을, 겨울",우정과 신뢰 ,"수줍음, 질투, 의심",,,
132,물풀,watercress,"봄, 여름",부정,기타,,,
133,칸나 릴리,canna lily,"봄, 가을",우정과 신뢰 ,경멸하지 않는 믿음,,,
134,아마리리스,hippeastrum,"겨울, 봄",독특한 아름다움,"자부심, 쾌활한 아름다움",,,
135,베르가못,bee balm,여름,동심과 희망 ,"힐링, 회복",,,
136,볼 모스,ball moss,"봄, 여름",독특한 아름다움 ,"수호자, 생명력",,,
137,디기탈리스,foxglove,"봄, 여름",사랑과 열정,"열애, 나는 애정을 숨길 수 없습니다",,,
138,부겐빌레아,bougainvillea,"봄, 여름, 가을 ",독특한 아름다움 ,정열,,,
139,동백꽃,camellia,"겨울, 봄",우정과 신뢰,"기다림, 애타는 사랑, 굳은 약속, 신중",,,
140,당아욱,mallow,여름,감사와 기쁨,"어머니의 사랑, 자애",,,
141,루엘리아,mexican petunia,"여름, 가을 ",신비와 기대 ,신비로움,,,
142,브로메리아,bromelia,"봄, 여름  ",환상과 신비,"환상적인 사랑, 풍부한 생명력",,,
143,천인국,blanket flower,"여름, 가을 ",변함없는 사랑과 성실,"단결, 협력, 영원한 사랑",,,
144,트럼펫 크리퍼,trumpet creeper,여름 ,환상과 신비,"환상적인 사랑, 놀라운 아름다움",,,
145,범부채,blackberry lily,여름,변함없는 사랑과 성실 ,"정성어린 사랑, 잃어버린 사랑, 개성미",,,
